origin,airline,weekday,duration(min),dep_minutes,route_weekday,pred_price
BRU,VY,Monday,125,1030.0,BRU_Monday,91.28726
BRU,UX,Monday,840,1135.0,BRU_Monday,114.48164
BRU,UX,Monday,1300,1135.0,BRU_Monday,114.66559
BRU,A3,Monday,885,1180.0,BRU_Monday,140.16293
BRU,A3,Monday,1290,1180.0,BRU_Monday,135.57265
BRU,A3,Monday,1380,685.0,BRU_Monday,135.74396
BRU,A3,Monday,1785,685.0,BRU_Monday,137.5214
BRU,AZ,Monday,955,1135.0,BRU_Monday,122.474365
BRU,IB,Tuesday,120,910.0,BRU_Tuesday,90.20499
BRU,IB,Tuesday,124,1315.0,BRU_Tuesday,91.26613
BRU,IB,Tuesday,125,580.0,BRU_Tuesday,92.63743
BRU,VY,Tuesday,120,910.0,BRU_Tuesday,89.3708
BRU,VY,Tuesday,124,1315.0,BRU_Tuesday,90.627174
BRU,VY,Tuesday,125,580.0,BRU_Tuesday,92.078354
BRU,UX,Tuesday,350,645.0,BRU_Tuesday,108.97989
BRU,UX,Tuesday,1330,645.0,BRU_Tuesday,118.33744
BRU,AZ,Tuesday,955,1135.0,BRU_Tuesday,122.69384
BRU,AZ,Tuesday,1260,1135.0,BRU_Tuesday,122.52655
BRU,A3,Tuesday,885,1180.0,BRU_Tuesday,141.30519
BRU,A3,Tuesday,1290,1180.0,BRU_Tuesday,136.6866
BRU,A3,Tuesday,1380,685.0,BRU_Tuesday,137.26744
BRU,A3,Tuesday,1785,685.0,BRU_Tuesday,138.7588
BRU,SN,Tuesday,120,735.0,BRU_Tuesday,134.46594
BRU,IB,Wednesday,120,910.0,BRU_Wednesday,90.20499
BRU,IB,Wednesday,124,1315.0,BRU_Wednesday,91.26613
BRU,IB,Wednesday,125,580.0,BRU_Wednesday,92.63743
BRU,IB,Wednesday,125,1030.0,BRU_Wednesday,92.14569
BRU,VY,Wednesday,120,910.0,BRU_Wednesday,89.3708
BRU,VY,Wednesday,124,1315.0,BRU_Wednesday,90.627174
BRU,VY,Wednesday,125,580.0,BRU_Wednesday,92.078354
BRU,VY,Wednesday,125,1030.0,BRU_Wednesday,91.50674
BRU,UX,Wednesday,350,645.0,BRU_Wednesday,108.97989
BRU,UX,Wednesday,1300,1135.0,BRU_Wednesday,114.88506
BRU,UX,Wednesday,1330,645.0,BRU_Wednesday,117.22373
BRU,A3,Wednesday,885,1180.0,BRU_Wednesday,140.57271
BRU,A3,Wednesday,1290,1180.0,BRU_Wednesday,135.98242
BRU,A3,Wednesday,1380,685.0,BRU_Wednesday,136.15373
BRU,A3,Wednesday,1785,685.0,BRU_Wednesday,138.29195
BRU,IB,Thursday,120,930.0,BRU_Thursday,90.18906
BRU,IB,Thursday,124,1315.0,BRU_Thursday,91.2502
BRU,IB,Thursday,125,580.0,BRU_Thursday,92.6215
BRU,IB,Thursday,125,1030.0,BRU_Thursday,92.12976
BRU,VY,Thursday,120,930.0,BRU_Thursday,89.354866
BRU,VY,Thursday,124,1315.0,BRU_Thursday,90.611244
BRU,VY,Thursday,125,580.0,BRU_Thursday,92.06242
BRU,VY,Thursday,125,1030.0,BRU_Thursday,91.49081
BRU,UX,Thursday,350,645.0,BRU_Thursday,108.96396
BRU,UX,Thursday,1300,1135.0,BRU_Thursday,115.28826
BRU,AZ,Thursday,1260,1135.0,BRU_Thursday,122.52655
BRU,A3,Thursday,885,1180.0,BRU_Thursday,140.5568
BRU,A3,Thursday,1290,1180.0,BRU_Thursday,136.38564
BRU,A3,Thursday,1380,685.0,BRU_Thursday,135.89456
BRU,A3,Thursday,1785,685.0,BRU_Thursday,137.30357
BRU,IB,Friday,120,910.0,BRU_Friday,90.20499
BRU,IB,Friday,124,1315.0,BRU_Friday,91.26613
BRU,IB,Friday,125,580.0,BRU_Friday,92.63743
BRU,IB,Friday,125,1030.0,BRU_Friday,92.14569
BRU,VY,Friday,120,910.0,BRU_Friday,89.3708
BRU,VY,Friday,124,1315.0,BRU_Friday,90.627174
BRU,VY,Friday,125,580.0,BRU_Friday,92.078354
BRU,VY,Friday,125,1030.0,BRU_Friday,91.50674
BRU,UX,Friday,350,645.0,BRU_Friday,108.97989
BRU,UX,Friday,1300,1135.0,BRU_Friday,114.88506
BRU,AZ,Friday,1260,1135.0,BRU_Friday,124.32775
BRU,A3,Friday,885,1180.0,BRU_Friday,140.57271
BRU,A3,Friday,1290,1180.0,BRU_Friday,135.98242
BRU,A3,Friday,1380,685.0,BRU_Friday,136.15373
BRU,A3,Friday,1785,685.0,BRU_Friday,138.40886
BRU,VY,Saturday,125,580.0,BRU_Saturday,92.21787
BRU,IB,Saturday,120,910.0,BRU_Saturday,90.29302
BRU,IB,Saturday,124,1315.0,BRU_Saturday,91.354164
BRU,IB,Saturday,125,580.0,BRU_Saturday,92.77695
BRU,VY,Saturday,120,910.0,BRU_Saturday,89.45883
BRU,VY,Saturday,124,1315.0,BRU_Saturday,90.71521
BRU,UX,Saturday,350,645.0,BRU_Saturday,109.27059
BRU,UX,Saturday,1330,645.0,BRU_Saturday,117.779465
BRU,AZ,Saturday,700,695.0,BRU_Saturday,127.15808
BRU,AZ,Saturday,955,1135.0,BRU_Saturday,124.07515
BRU,AZ,Saturday,1260,1135.0,BRU_Saturday,123.90784
BRU,AZ,Saturday,1395,695.0,BRU_Saturday,125.170204
BRU,A3,Saturday,885,1180.0,BRU_Saturday,140.81194
BRU,A3,Saturday,1290,1180.0,BRU_Saturday,136.22165
BRU,A3,Saturday,1380,685.0,BRU_Saturday,135.9639
BRU,IB,Sunday,120,910.0,BRU_Sunday,90.20499
BRU,IB,Sunday,124,1315.0,BRU_Sunday,91.26613
BRU,IB,Sunday,125,580.0,BRU_Sunday,92.63743
BRU,IB,Sunday,125,1020.0,BRU_Sunday,92.14569
BRU,VY,Sunday,120,910.0,BRU_Sunday,89.3708
BRU,VY,Sunday,124,1315.0,BRU_Sunday,90.627174
BRU,VY,Sunday,125,580.0,BRU_Sunday,92.078354
BRU,VY,Sunday,125,1020.0,BRU_Sunday,91.50674
BRU,UX,Sunday,1330,645.0,BRU_Sunday,117.22373
BRU,AZ,Sunday,955,1135.0,BRU_Sunday,122.69384
BRU,AZ,Sunday,1260,1135.0,BRU_Sunday,122.52655
BRU,A3,Sunday,1290,1180.0,BRU_Sunday,135.98242
BRU,SN,Sunday,120,735.0,BRU_Sunday,120.42642
BRU,SN,Sunday,120,1105.0,BRU_Sunday,119.822136
BRU,UX,Sunday,350,645.0,BRU_Sunday,110.21155
BRU,IB,Monday,120,910.0,BRU_Monday,89.98551
BRU,IB,Monday,124,1315.0,BRU_Monday,91.14679
BRU,IB,Monday,125,580.0,BRU_Monday,92.41795
BRU,IB,Monday,125,1030.0,BRU_Monday,91.926216
BRU,VY,Monday,120,910.0,BRU_Monday,89.15132
BRU,VY,Monday,124,1315.0,BRU_Monday,90.507835
BRU,VY,Monday,125,580.0,BRU_Monday,91.85888
BRU,VY,Monday,125,1030.0,BRU_Monday,91.28726
BRU,UX,Monday,840,1135.0,BRU_Monday,114.48164
BRU,UX,Monday,1300,1135.0,BRU_Monday,114.66559
BRU,AZ,Monday,955,1135.0,BRU_Monday,122.474365
BRU,AZ,Monday,1260,1135.0,BRU_Monday,122.307076
BRU,SN,Monday,120,735.0,BRU_Monday,122.88588
BRU,SN,Monday,120,1105.0,BRU_Monday,122.28159
BRU,TP,Monday,510,710.0,BRU_Monday,145.15327
BRU,IB,Tuesday,120,910.0,BRU_Tuesday,90.20499
BRU,IB,Tuesday,124,1315.0,BRU_Tuesday,91.26613
BRU,IB,Tuesday,125,580.0,BRU_Tuesday,92.63743
BRU,VY,Tuesday,120,910.0,BRU_Tuesday,89.3708
BRU,VY,Tuesday,124,1315.0,BRU_Tuesday,90.627174
BRU,VY,Tuesday,125,580.0,BRU_Tuesday,92.078354
BRU,UX,Tuesday,350,645.0,BRU_Tuesday,108.97989
BRU,UX,Tuesday,1300,1135.0,BRU_Tuesday,115.58924
BRU,AZ,Tuesday,955,1135.0,BRU_Tuesday,122.69384
BRU,AZ,Tuesday,1260,1135.0,BRU_Tuesday,122.52655
BRU,A3,Tuesday,885,1180.0,BRU_Tuesday,141.30519
BRU,A3,Tuesday,1290,1180.0,BRU_Tuesday,136.6866
BRU,A3,Tuesday,1380,685.0,BRU_Tuesday,137.26744
BRU,A3,Tuesday,1785,685.0,BRU_Tuesday,138.7588
BRU,UX,Tuesday,840,1135.0,BRU_Tuesday,115.4336
BRU,IB,Wednesday,120,910.0,BRU_Wednesday,90.20499
BRU,IB,Wednesday,124,1315.0,BRU_Wednesday,91.26613
BRU,IB,Wednesday,125,580.0,BRU_Wednesday,92.63743
BRU,IB,Wednesday,125,1030.0,BRU_Wednesday,92.14569
BRU,VY,Wednesday,120,910.0,BRU_Wednesday,89.3708
BRU,VY,Wednesday,124,1315.0,BRU_Wednesday,90.627174
BRU,VY,Wednesday,125,1030.0,BRU_Wednesday,91.50674
BRU,VY,Wednesday,125,580.0,BRU_Wednesday,92.078354
BRU,UX,Wednesday,350,645.0,BRU_Wednesday,108.97989
BRU,UX,Wednesday,1300,1135.0,BRU_Wednesday,114.88506
BRU,AZ,Wednesday,955,1135.0,BRU_Wednesday,122.42282
BRU,AZ,Wednesday,1260,1135.0,BRU_Wednesday,122.25553
BRU,UX,Wednesday,840,1135.0,BRU_Wednesday,114.70112
BRU,SN,Wednesday,120,1105.0,BRU_Wednesday,118.725914
BRU,LX,Wednesday,220,920.0,BRU_Wednesday,145.83989
BRU,IB,Thursday,120,930.0,BRU_Thursday,90.18906
BRU,IB,Thursday,124,1315.0,BRU_Thursday,91.2502
BRU,IB,Thursday,125,580.0,BRU_Thursday,92.6215
BRU,IB,Thursday,125,1030.0,BRU_Thursday,92.12976
BRU,VY,Thursday,120,930.0,BRU_Thursday,89.354866
BRU,VY,Thursday,124,1315.0,BRU_Thursday,90.611244
BRU,VY,Thursday,125,580.0,BRU_Thursday,92.06242
BRU,VY,Thursday,125,1030.0,BRU_Thursday,91.49081
BRU,UX,Thursday,350,645.0,BRU_Thursday,108.96396
BRU,UX,Thursday,1300,1135.0,BRU_Thursday,115.28826
BRU,AZ,Thursday,955,1135.0,BRU_Thursday,122.69384
BRU,AZ,Thursday,1260,1135.0,BRU_Thursday,122.52655
BRU,SN,Thursday,120,735.0,BRU_Thursday,119.54362
BRU,SN,Thursday,120,1105.0,BRU_Thursday,118.93933
BRU,A3,Thursday,885,1180.0,BRU_Thursday,140.5568
BRU,IB,Friday,120,910.0,BRU_Friday,90.20499
BRU,IB,Friday,124,1315.0,BRU_Friday,91.26613
BRU,IB,Friday,125,580.0,BRU_Friday,92.63743
BRU,IB,Friday,125,1030.0,BRU_Friday,92.14569
BRU,VY,Friday,120,910.0,BRU_Friday,89.3708
